ERL2,ERL2+25,ERL2-25,RL2,RL2+25,RL2-25,EMAML,EMAML+25,EMAML-25,MAML,MAML+25,MAML-25
4.2,4.3,4.0,3.2,3.5,3.0,5.0,6.1,4.8,3.3,4.0,3.0
4.4,4.6,3.9,4.5,4.7,4.4,5.5,6.3,5.0,4.1,5.2,3.8
4.8,5.3,3.8,4.7,4.8,4.7,5.9,7.2,5.2,4.3,5.3,4.1
5.1,5.4,3.8,4.9,4.9,4.9,6.5,7.3,5.4,4.7,5.7,4.3
4.1,5.5,3.6,5.2,5.2,5.2,7.2,7.9,5.7,5.3,6.5,4.1
4.0,5.0,3.2,5.5,5.6,5.5,7.5,7.9,6.2,5.8,6.9,4.7
3.7,4.7,3.1,5.8,5.8,5.8,7.8,7.9,6.8,6.2,6.8,5.3
3.2,4.3,2.8,6.2,6.4,6.2,7.9,7.9,7.5,6.5,6.8,5.5
2.9,4.0,2.1,6.5,6.5,6.5,7.8,7.9,7.7,6.4,6.9,5.8
3.3,4.1,2.6,6.6,6.6,6.6,7.9,7.9,7.9,6.6,6.7,6.4